user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
400006092533,0,15,1
400012318159,3,20,4
400014080348,3,51,3
400017098913,4,18,2
400023512903,3,14,1
400024232015,3,25,3
400027908576,3,14,2
400030222474,3,11,1
400034505351,3,37,1
400037781425,0,15,2
400040697872,3,22,2
400046016774,3,16,3
400050108289,4,8,2
400053981125,0,14,2
400054371177,3,18,2
400056885849,3,26,3
400060518833,3,20,2
400066590069,4,16,3
400078782983,4,28,4
400080675546,0,5,1
400087065195,3,20,1
400087758194,0,1,1
400093734808,3,22,3
400096041655,3,24,2
400111713566,0,14,1
400117104762,3,20,1
400120626993,4,17,1
400121790394,3,16,4
400124628179,3,19,2
400128693632,0,39,2
400132380805,3,16,2
400141353645,4,24,3
400141719385,0,1,1
400146609284,3,8,2
400147494334,3,22,1
400148865402,3,14,3
400150125510,3,13,2
400150263512,3,18,1
400150635869,3,22,3
400150758172,3,17,2
400154481862,3,15,1
400170627812,3,16,4
400174266108,0,7,1
400178181764,3,20,2
400180533828,3,19,3
400189389520,0,6,1
400190586281,4,23,2
400191759776,5,18,1
400195437511,3,6,1
400202964730,3,5,2
400203069041,0,30,1
400216182929,0,15,1
400222080072,6,7,3
400229553127,3,25,3
400233144653,0,3,2
400239648752,3,14,1
400239807089,3,16,3
400241847835,7,42,1
400244328426,3,18,1
400248330164,3,18,1
400249335684,3,17,2
400265454914,0,21,2
400275753160,3,22,2
400297461043,4,11,2
400298187445,3,53,2
400307931329,3,28,1
400323996506,3,15,1
400344957076,4,13,1
400347588123,0,7,2
400352649013,0,22,1
400353294047,8,16,1
400353834262,5,5,1
400357233220,0,41,2
400364970400,7,56,2
400373067187,0,1,1
400386831658,4,59,2
400395057001,7,57,2
400640772480,0,8,2
400643778468,0,11,1
410400804849,3,16,2
410439678182,7,12,2
410444097036,4,14,4
410455449772,4,13,1
410459949772,3,20,1
410469075105,3,14,2
410469996218,3,8,1
410474043732,5,30,2
4440631,4,11,3
550342,3,12,2
7516970,3,13,2
9553869,3,10,2
400278390226,2,16,2
400049658897,2,27,3
400080099743,2,16,3
400165359483,2,21,2
400105317205,2,19,3
400331898066,2,17,3
10745722,2,23,3
400070004655,2,17,2
400240656512,2,15,1
400089648491,2,18,5
400042515825,2,25,1
410470329668,2,6,2
400053444888,2,15,2
400392717093,2,3,1
400129134980,2,9,1
410427636665,2,12,2
400013166138,2,20,1
400206525279,2,12,3
400110432041,2,23,2
23230669,2,6,2
400134783173,2,17,4
400080066529,2,21,2
400077585865,2,18,1
400268757694,2,16,3
400041360252,2,29,1
400253328080,2,6,2
400292853787,2,22,2
400232739960,2,9,1
400276059724,2,16,1
400349448442,2,20,1
410453229508,2,9,2
400111419801,2,32,3
400032490377,2,13,1
400082502620,2,17,2
400284648306,2,14,2
400235829930,2,17,1
400306899366,2,9,1
400225713214,2,20,1
400133691518,2,15,2
400292508388,2,11,1
400240797287,2,20,1
400364133570,2,16,1
400282440222,2,22,2
400123917321,2,20,1
400319787665,2,30,1
400236324655,2,17,1
410468457370,2,26,3
400118772630,2,13,1
400160658303,2,16,3
400318551038,2,5,1
410467005726,2,20,1
400044696196,2,11,2
400109985035,2,19,2
410417832552,2,22,1
400244235782,2,20,2
3243927,2,32,2
400131582720,2,13,1
400257549019,2,24,2
400093413447,2,9,2
400004576055,2,22,2
410460405633,2,10,2
400074579385,2,12,2
400110621208,2,20,2
400117602995,2,13,2
400316313777,2,12,2
400042833675,2,13,2
410416482136,2,14,2
400357146132,2,19,2
400216626403,2,5,2
400072617206,2,22,2
400222371530,2,16,1
400316730313,2,18,2
400294710014,2,16,2
400067397962,2,25,2
400152657147,2,16,2
400130490973,2,10,2
400044243056,2,13,3
400107135153,2,19,1
400016914988,2,19,2
410465139537,2,20,1
400007862124,2,6,2
400256592942,2,19,1
16444526,2,23,1
